,ID,BrojKonkurisanja,BrojPregledaOglasa,NacinKonkurisanja,PrimarnaKategorija,StandardizovanaPozicija,Drzava,ImaInostranstvoGrad,Regioni,ImaInostranstvoRegion,Godina,Mesec_proba,Grad,Nadkategorija
54,99254,88,1657,NE,mašinstvo,mehaničar,0,ne,Inostranstvo,da,2014,1,0,Tehničke nauke
55,99717,26,1848,NE,prehrambena tehnologija,Direktor proizvodnje,0,ne,Inostranstvo,da,2014,1,0,Ekonomija
56,99842,709,9919,NE,"građevina, geodezija",građevinski inženjer,0,ne,Inostranstvo,da,2014,1,Afrika,Tehničke nauke
57,99843,501,6861,NE,"građevina, geodezija",ostale građevinske pozicije,0,ne,Inostranstvo,da,2014,1,Afrika,Tehničke nauke
58,99918,56,2310,NE,zdravstvo,fizioterapeut,0,ne,Inostranstvo,da,2014,1,0,Zdravstvo i farmacija
59,99919,10,675,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2014,1,0,Trgovina i usluge
60,99920,7,817,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2014,1,0,Trgovina i usluge
61,99921,35,6444,NE,"briga o lepoti, sport",fitnes instruktor,0,ne,Inostranstvo,da,2014,1,0,"Obrazovanje, umetnost i sport"
62,99922,29,1636,NE,zdravstvo,lekar/doktor,0,ne,Inostranstvo,da,2014,1,0,Zdravstvo i farmacija
63,100057,88,6676,NE,"građevina, geodezija",izvođač završnih građevinskih radova,0,da,,ne,2014,3,Biti?,Tehničke nauke
64,100059,75,5435,NE,"građevina, geodezija",građevinski inženjer,0,ne,Inostranstvo,da,2014,3,Biti?,Tehničke nauke
65,100142,83,1949,N,mašinstvo,šef gradilišta,0,da,,ne,2014,4,0,Tehničke nauke
66,100354,192,6124,NE,elektrotehnika,elektroinženjer,0,ne,"Srbija,Inostranstvo",da,2014,10,"Srbija, inostranstvo",Tehničke nauke
67,100360,295,9056,NE,mašinstvo,mašinski inženjer,0,ne,"Srbija,Inostranstvo",da,2014,10,"Srbija, inostranstvo",Tehničke nauke
68,100387,10,1678,NE,"rudarstvo, metalurgija",bravar,0,ne,Inostranstvo,da,2014,10,ja sam viĹˇe,Tehničke nauke
69,101215,43,1647,NE,zdravstvo,fizioterapeut,0,ne,Inostranstvo,da,2014,2,0,Zdravstvo i farmacija
70,101216,4,474,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2014,2,0,Trgovina i usluge
71,101217,3,563,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2014,2,0,Trgovina i usluge
72,101218,24,1217,NE,"briga o lepoti, sport",fitnes instruktor,0,ne,Inostranstvo,da,2014,2,0,"Obrazovanje, umetnost i sport"
73,101219,31,1482,NE,zdravstvo,lekar/doktor,0,ne,Inostranstvo,da,2014,2,0,Zdravstvo i farmacija
74,101316,131,3179,NE,mašinstvo,planer proizvodnje,0,ne,Inostranstvo,da,2014,4,srednji Istok,Tehničke nauke
75,102072,113,1967,NE,elektrotehnika,elektroinženjer,0,ne,Inostranstvo,da,2014,3,"Evropa, Severna Afrika i Bliski Istok",Tehničke nauke
76,102114,62,1364,NE,ugostiteljstvo,higijeničar/ka,0,da,,ne,2014,3,0,Trgovina i usluge
77,102117,24,774,NE,ugostiteljstvo,kuvar,0,da,,ne,2014,3,0,Turizam i ugostiteljstvo
78,102119,4,822,NE,ugostiteljstvo,kuvar,0,da,,ne,2014,3,0,Turizam i ugostiteljstvo
79,102122,73,1534,NE,"trgovina, prodaja",prodavac,0,da,,ne,2014,3,0,Trgovina i usluge
80,102142,19,1594,NE,mašinstvo,mašinski inženjer,0,da,,ne,2014,3,"Evropa, Severna Afrika i Bliski Istok",Tehničke nauke
81,102145,26,2231,NE,mašinstvo,mašinski inženjer,0,da,,ne,2014,3,"Evropa, Severna Afrika i Bliski Istok",Tehničke nauke
82,102575,36,1750,NE,"briga o lepoti, sport",fizioterapeut,0,ne,Inostranstvo,da,2014,2,0,Zdravstvo i farmacija
83,102576,3,509,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2014,2,0,Trgovina i usluge
84,102577,13,696,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2014,2,0,Trgovina i usluge
85,102578,22,1027,NE,"briga o lepoti, sport",fitnes instruktor,0,ne,Inostranstvo,da,2014,2,0,"Obrazovanje, umetnost i sport"
86,102579,47,1312,NE,zdravstvo,lekar/doktor,0,ne,Inostranstvo,da,2014,2,0,Zdravstvo i farmacija
87,103187,26,1156,NE,"briga o lepoti, sport",fizioterapeut,0,ne,Inostranstvo,da,2014,4,0,Zdravstvo i farmacija
88,103730,41,4153,NE,zdravstvo,kozmetičar,0,ne,Inostranstvo,da,2014,3,0,Trgovina i usluge
89,103731,9,607,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2014,3,0,Trgovina i usluge
90,103732,13,798,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2014,3,0,Trgovina i usluge
91,103733,45,1651,NE,"briga o lepoti, sport",fitnes instruktor,0,ne,Inostranstvo,da,2014,3,0,"Obrazovanje, umetnost i sport"
92,103734,31,1373,NE,zdravstvo,lekar/doktor,0,ne,Inostranstvo,da,2014,3,0,Zdravstvo i farmacija
93,103956,80,3097,NE,"građevina, geodezija",menadžer plana i analize,0,da,,ne,2014,8,"Evropa, Severna Afrika i Bliski Istok",Ekonomija
94,104986,256,5710,NE,farmacija,prodajni medicinski predstavnik,0,ne,"Inostranstvo,Inostranstvo,Inostranstvo",da,2014,3,"Beograd, Kragujevac, NiĹˇ, Podgorica, Bijeljina",Trgovina i usluge
95,105084,41,1709,NE,zdravstvo,fizioterapeut,0,ne,Inostranstvo,da,2014,5,0,Zdravstvo i farmacija
96,105085,5,453,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2014,5,0,Trgovina i usluge
97,105087,5,672,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2014,5,0,Trgovina i usluge
98,105088,23,1112,NE,"briga o lepoti, sport",fitnes instruktor,0,ne,Inostranstvo,da,2014,5,0,"Obrazovanje, umetnost i sport"
99,105089,29,1272,NE,zdravstvo,lekar/doktor,0,ne,Inostranstvo,da,2014,5,0,Zdravstvo i farmacija
100,105161,244,5883,NE,mašinstvo,mašinski inženjer,0,ne,"Srbija,Inostranstvo",da,2014,6,0,Tehničke nauke
101,105762,86,1872,NE,"obezbeđenje, zaštita na radu",inženjer zaštite na radu,0,da,,ne,2014,6,Inostranstvo,Trgovina i usluge
102,106218,13,1900,NE,IT,Embedded Software Developer,0,da,,ne,2014,3,Inostranstvo,Informacione tehnologije
103,106261,45,1499,NE,zdravstvo,fizioterapeut,0,ne,Inostranstvo,da,2014,6,0,Zdravstvo i farmacija
104,106262,9,617,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2014,6,0,Trgovina i usluge
105,106263,8,718,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2014,6,0,Trgovina i usluge
106,106264,38,1337,NE,"briga o lepoti, sport",fitnes instruktor,0,ne,Inostranstvo,da,2014,6,0,"Obrazovanje, umetnost i sport"
107,106265,25,1483,NE,zdravstvo,lekar/doktor,0,ne,Inostranstvo,da,2014,6,0,Zdravstvo i farmacija
108,106298,41,4440,NE,"saobraćaj, logistika",vozač,0,ne,Inostranstvo,da,2014,7,0,Trgovina i usluge
109,106340,138,2569,NE,ugostiteljstvo,konobar,0,da,,ne,2014,9,Inostranstvo,Turizam i ugostiteljstvo
110,106954,93,2364,NE,elektrotehnika,elektroinženjer,0,da,,ne,2014,7,0,Tehničke nauke
111,106974,63,3995,NE,"građevina, geodezija",građevinski inženjer,0,ne,Inostranstvo,da,2014,7,Biti?,Tehničke nauke
