ID;BrojKonkurisanja;BrojPregledaOglasa;PrimarnaKategorija;StandardizovanaPozicija;ImaInostranstvoGrad;Regioni;ImaInostranstvoRegion;Godina;BrojPrijavaSamoIno;DatumObjave;NacinKonkurisanja;Grad;Nadkategorija;Drzava
97833;41;1982;elektrotehnika;elektroinženjer;ne;Inostranstvo;da;2013;;28.11.2013;NE;srednji Istok;Tehničke nauke;0
97834;28;1547;elektrotehnika;elektroinženjer;ne;Inostranstvo;da;2013;;28.11.2013;NE;srednji Istok;Tehničke nauke;0
98369;167;5707;IT;IT Analyst;ne;Inostranstvo;da;2013;;13.12.2013;NE;Beograd, inostranstvo (Muskat, Oman);Informacione tehnologije;0
98577;41;2543;zdravstvo;fizioterapeut;ne;Inostranstvo;da;2013;;23.12.2013;NE;0;Zdravstvo i farmacija;0
98578;14;679;briga o lepoti, sport;kozmetičar;ne;Inostranstvo;da;2013;;23.12.2013;NE;0;Trgovina i usluge;0
98579;8;950;briga o lepoti, sport;frizer;ne;Inostranstvo;da;2013;;23.12.2013;NE;0;Trgovina i usluge;0
98580;46;1818;briga o lepoti, sport;fitnes instruktor;ne;Inostranstvo;da;2013;;23.12.2013;NE;0;Obrazovanje, umetnost i sport;0
98581;55;2209;zdravstvo;lekar/doktor;ne;Inostranstvo;da;2013;;23.12.2013;NE;0;Zdravstvo i farmacija;0
98696;47;3127;menadžment (srednji);inženjer prehrambene tehnologije;ne;Inostranstvo;da;2014;;13.01.2014;NE;0;Tehničke nauke;0
99254;88;1657;mašinstvo;mehaničar;ne;Inostranstvo;da;2014;;20.01.2014;NE;0;Tehničke nauke;0
99717;26;1848;prehrambena tehnologija;Direktor proizvodnje;ne;Inostranstvo;da;2014;;24.01.2014;NE;0;Ekonomija;0
99842;709;9919;građevina, geodezija;građevinski inženjer;ne;Inostranstvo;da;2014;;28.01.2014;NE;Afrika;Tehničke nauke;0
99843;501;6861;građevina, geodezija;ostale građevinske pozicije;ne;Inostranstvo;da;2014;;28.01.2014;NE;Afrika;Tehničke nauke;0
99918;56;2310;zdravstvo;fizioterapeut;ne;Inostranstvo;da;2014;;30.01.2014;NE;0;Zdravstvo i farmacija;0
99919;10;675;briga o lepoti, sport;kozmetičar;ne;Inostranstvo;da;2014;;30.01.2014;NE;0;Trgovina i usluge;0
99920;7;817;briga o lepoti, sport;frizer;ne;Inostranstvo;da;2014;;30.01.2014;NE;0;Trgovina i usluge;0
99921;35;6444;briga o lepoti, sport;fitnes instruktor;ne;Inostranstvo;da;2014;;30.01.2014;NE;0;Obrazovanje, umetnost i sport;0
